TRADE_DT	S_INFO_WINDCODE	open	close	high	low	volume	vwap
20230413	AAPL	159.32186881483895	163.19573974609375	163.43231787231758	159.11486107428212	68445600	161.2661968768831
20230414	AAPL	162.23961256067847	162.85076904296875	163.94491858408577	161.48061917083933	49386500	162.62897983964308
20230417	AAPL	162.73246797792896	162.87046813964844	163.02818690758198	161.68760746192598	41516200	162.57968262177135
20230418	AAPL	163.72804670609275	164.09275817871094	165.019337094876	163.28446081239204	49923000	164.03115069801794
20230419	AAPL	163.43235220441335	165.23622131347656	165.75865162452376	163.1760554202755	47720200	164.4008201406723
20230420	AAPL	163.71818673436218	164.2701873779297	165.47276665465435	163.1957564794937	52456400	164.16422431160998
20230421	AAPL	162.6930683177726	162.6634979248047	164.07307012591417	162.141067594516	58337300	162.89267599075185
20230424	AAPL	162.64378106752824	162.9690704345703	163.2352190150396	161.54963139325648	41949600	162.59942547759866
20230425	AAPL	162.83104036567903	161.4313201904297	163.93504162144998	161.3918829793584	48714100	162.3973212892293
20230426	AAPL	160.73146218660858	161.4214630126953	162.91976126426218	160.47518046288778	45498800	161.38696673161348
20230427	AAPL	162.83103216774902	166.0050506591797	166.15290259103057	162.83103216774902	64902300	164.45500439642706
20230428	AAPL	166.08393356927388	167.25692749023438	167.424513091262	165.4826438930684	55275900	166.56200451095967
20230501	AAPL	166.86264216717663	167.168212890625	168.01593249804148	166.2317821133474	52472900	167.06964241729764
20230502	AAPL	167.66107793363267	166.13320922851562	167.91737470896658	165.1474894240389	48425700	166.71478782378844
20230503	AAPL	167.07949000013943	165.0587615966797	168.47921017635485	164.77290950021637	65136000	166.3475928183476
20230504	AAPL	162.53534351356944	163.4224853515625	164.6546351492701	161.9636242025262	81235400	163.14402205423204
20230505	AAPL	168.5383592942621	171.0913848876953	171.8109560965244	168.32149974515366	113453200	169.94055000590888
20230508	AAPL	170.0169159017989	171.02235412597656	171.36736200944458	169.65220445536363	55962800	170.51470912314593
20230509	AAPL	170.5788437710772	169.31712341308594	171.06183693007648	169.14955282313792	45326900	170.02683923434438
20230510	AAPL	170.5492304195713	171.08151245117188	171.54480192353225	169.44521410372417	53724500	170.6551897244999
20230511	AAPL	171.36739208260082	171.26881408691406	172.09681510347738	169.71137500858376	49514700	171.111099070394
20230512	AAPL	171.3773983196224	170.34097290039062	171.81171738299747	168.79124488441096	45533100	170.58033337185535
20230515	AAPL	170.92334452950067	169.84742736816406	170.97270170588305	169.25517137496644	37266700	170.24966124462856
20230516	AAPL	169.76845889829133	169.84742736816406	170.9035986466086	169.58091066505557	42110300	170.0250988945299
20230517	AAPL	169.492059065459	170.4593963623047	170.69628668546216	168.21871333171157	57951600	169.71661386123435
20230518	AAPL	170.76538642479474	172.78890991210938	172.97645812210007	170.35081330561755	65496700	171.72039194115544
20230519	AAPL	174.11163026725697	172.89752197265625	174.11163026725697	172.68036243226308	55809500	173.4502862348583
20230522	AAPL	171.73273062815065	171.94989013671875	172.45331220735133	171.2095777379714	43570900	171.83637767754803
20230523	AAPL	170.89372201948225	169.343994140625	171.140492823502	169.06761204505847	50747300	170.11145525716694
20230524	AAPL	168.88007936551583	169.62039184570312	170.19290197111815	168.31744971265542	45143500	169.25270572374814
20230525	AAPL	170.18302884098296	170.7555389404297	171.65377326209193	169.47232768730396	56058300	170.51616718270213
20230526	AAPL	171.08127033696854	173.16400146484375	173.49962120538788	170.87397623432938	54835000	172.15471731038238
20230530	AAPL	174.6742524991613	175.00985717773438	176.67803022234617	174.28929064745816	55964400	175.162857636675
20230531	AAPL	175.03946345752533	174.9604949951172	177.03337571367211	174.4768188110026	99625300	175.37753824432934
20230601	AAPL	175.40469602373648	177.76382446289062	177.79343575638538	174.64463768008144	68901800	176.4016484807735
20230602	AAPL	178.69166987914852	178.61270141601562	179.43198227661338	176.94452840385708	61996900	178.42022049390863
20230605	AAPL	180.27098229225282	177.2603759765625	182.561007136821	175.74025964458482	121946500	178.9581562625553
20230606	AAPL	177.64534986625156	176.89517211914062	177.79340630920336	175.13815031318512	64848400	176.8680196519452
20230607	AAPL	176.135134367242	175.5231475830078	178.86935913776645	175.02960596689772	61944600	176.3893117637285
20230608	AAPL	175.60208462454239	178.23760986328125	178.50411146672758	175.16778069465795	50214900	176.8778966623023
20230609	AAPL	179.1556074319137	178.62258911132812	179.87617397731293	178.2968498358667	48900000	178.98780508910536
20230612	AAPL	178.92856174317663	181.41600036621094	181.51471470308874	178.6324337942364	54274900	180.12292765167817
20230613	AAPL	180.43882318354116	180.94223022460938	181.77137654932005	180.08347260699438	54929100	180.80897564111623
20230614	AAPL	181.00141884147698	181.5739288330078	182.00824779635482	179.66886572578127	57462900	181.0631152991552
20230615	AAPL	181.58382192499832	183.60733032226562	184.11075236554325	181.40613912687283	65433200	182.67701093492002
20230616	AAPL	184.31803597311566	182.5314178466797	184.57468723659963	181.88981981135748	101256200	183.32849021693812
20230620	AAPL	182.02801364300083	182.62025451660156	183.69618663444365	182.02801364300083	49799100	182.5931171092617
20230621	AAPL	182.51167734169172	181.58383178710938	183.015099412311	180.23151756348105	49515700	181.8355315261483
20230622	AAPL	181.36664831236425	184.58453369140625	184.63389085713814	181.29754526800113	51245300	182.97065453222746
